id,text
8414,slower \ check \ niptbwdq csenjruz slower \ check \ niptbwdq csenjruz
8499,Different programs cannot be opened on several PCs. Different programs cannot be opened on several PCs. area cnc.
7032,I request images from the front of the cd in order to evaluate the theft of a concrete mixer engine period: from 12h00 from 15/08 to 12h00 from 18/08/2016
7254,problems with login. \ wxstfouy isjzcotm unfortunately I cannot log into my computer. error message: The trust relationship between this workstation and the primary domain could not be established
7294,problem with landline phone received from: jctnelqs.lansuiwe@gmail.com Dear ladies and gentlemen on my landline phone the information on the display has only been incomplete for some time. several horizontal lines make the display illegible.  my phone number is 09279 / 80-155.please remedy. best regards jctnelqs lansuiwe quality assurance  jctnelqs.lansuiwe@gmail.com <mailto: jctnelqs.lansuiwe@gmail.com>
7474,r173 schneeberger cnc no. 20123 / wza programdntyme cannot be opened in some cases take a look at the hard drive please for completion by m. himghtmelreich (EU_tool rep.no: 39788)
7512,it-germany-h. kruse / as-400 password change failed hello frthdyui changing the password in the as-400 did not work. ask for your help. thanks in advance-greetings petrghada :-) 
7598,Office 365 change language / videos from thehub do not work. hello is it possible that i change office365 from english to german? if so where can I find this setting? if I want to watch the videos of lets talk in German and click on the link in the email he tells me: office 365 video isnt available office 365 video is not enabled by your organization for you. here is a link: thank you for your help 
7718,cellphone loudspeaker / microphone defective / disturbed extension -477 handset gigaset sl2 loudspeaker / microphone scratch or stop at times 
7807,data transfer received from: weszfyok.fbadnjhu@gmail.com Hello there are apparently problems with the transmission of stamp times (EU_tool / erp) with 8-digit personnel numbers (see below) best regards weszfyok fbadnjhu  by: axesnghb cyzuomxa Sent: Thursday July 28th 2016 12:17 PM  to: zslugaxq dtwlrofu; laeusvjo fvaihgpx cc: weszfyok fbadnjhu  subject: temporary employee lochthowe andre 21111177 Hello everybody since 07/21/2016 mr lochthowe has been stamping his card in EU_tool. since then the data has not been transmitted to erp. here something is wrong with the card no. or the trunk number. we have the first employee here with an eight-digit master number. can it be because of it ???? please check. Yours sincerely best 
7821,Orders cannot be printed. no order can be printed. draw bugs.
7829,242/5000 erp / SID_34 - production orders cannot be printed out error: connection to system production_order_interface_app-fu with destination production_order_interface_vendor-connc-fu incorrect: error when opening an rfc connection (cpic-call (1). 
7833,error printer received from: gsnuhpji.qpyfctwl@gmail.com nothing is printed out anymore error message [cid: image001.png@01d1f3ba.6428d800] with best regards / best
7906,EU_tool does not work. EU_tool does not work. message: unknown error. system distributor_tool error.
8049,review pc lpaw8515845 (g0rfv12) usadtto dfsdpor ffthhiago frsilva use microsoft update update adobe acrobat adobe flash and java review groups review and update sep review patching_antivirus_sw review erp client perform check disk defrag and sep scan update dell driverscheck for an update / new version of the office package in o365 uacyltoe hxgayczear access to itau box and hsbc. uacyltoe hxgayczear opening of plaghynilhas do itaú.
8103,wg: [ticket # 2016080878000153] wg: po # 4505612440 received from: tvmlrwkz.rsxftjep@gmail.com Hello everybody see the following email correspondence please fix it as soon as possible. thank you. with best regards / best 
8203,problems with computer ewew8323531 \ defective fp sectors \ xosdfhbu gtbfkisl problems with computer ewew8323531 \ defective fp sectors \ xosdfhbu gtbfkisl
8230,investment request mnakehrf mvunqihf - new laptop request - mnakehrf mvunqihf received from: jywvemun.qngschtz@gmail.com team here is an investment application for a new computer / laptop for mnakehrf mvunqihf with best regards / best 
8232,stepfhryhan needs access to below collaboration_platform links. stepfhryhan needs access to below collaboration_platform links. vacation planning (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / vacation planning) 3p plans (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / 3p% 20pl% e4ne) general (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / general) berirtchtwesen area north (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / berirtchtwesen% 20gebiet% 20nord) crm team folder (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / crm% 20teamfolder) teamcall teammeeting (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / teamcall% 20teammeeting) top 5 projects (file: // efdl9221150 / users / linnes / collaboration_platform% 20-% 20company% 20inc- / fy16% 20teamfolder% 20linnemann / top% 205% 20projekte) hello sabrthy how far are we on this topic? have not yet received a ticket ... Yours sincerely nizholae bjnqikym application engineer i application engineer nizholae.bjnqikym@gmail.com company deutschland gmbh this communication is intended solely for the use of the addressee and may contain information that is worthy of protection confidential or excluded from disclosure under applicable law. the distribution distribution or reproduction of this communication by persons other than the intended recipients is strictly prohibited. if you have received this message by mistake please notify the sender and delete this message. select the following link to view the disclaimer in an alternate language. by: nizholae bjnqikym sent: Thursday July 21 2016 12:16 pm to: aorthyme rnsuipbk <aorthyme.rnsuipbk@gmail.com> subject: aw: no access to netweaver. thank you sabrthy ... Yours sincerely nizholae bjnqikym application engineer i application engineer nizholae.bjnqikym@gmail.com this communication is intended solely for the use of the addressee and may contain information that is worthy of protection confidential or excluded from disclosure under applicable law. the distribution distribution or reproduction of this communication by persons other than the intended recipients is strictly prohibited. if you have received this message by mistake please notify the sender and delete this message. select the following link to view the disclaimer in an alternate language. by: aorthyme rnsuipbk Sent: Thursday July 21 2016 12:03 PM to: nizholae bjnqikym <nizholae.bjnqikym@gmail.com> subject: re: no access to netweaver. hello stepfhryhan that takes a little time. I register a ticket for it. warm  
8238,problems with printer in lÃ¶we uacyltoe hxgayczeraum \ reinhard krÃ¶ger problems with printer in lÃ¶we uacyltoe hxgayczeraum \ reinhard krÃ¶ger
8242,telephone receiver on the equipment production hall c defective charge to it-plant germany
8324,Abended job in job_scheduler: bk_hana_SID_62_erp_dly_dp received from: monitoring_tool@company.com abended job in job_scheduler: bk_hana_SID_62_erp_dly_dp at 08/05/16 22:03:24
8419,problems with screen saver \ we91 \ jionmpsf wnkpzcmv problems with screen saver \ we91 \ jionmpsf wnkpzcmv
8420,defective mobile phone gigaset m2 professional mobile phone with extension 479 battery (defective does not last longer than 1 day) display (you can hardly see anything)clip defective.
8425,i cannot reset my erp password. I dont remember my erp password and have entered 3 unsuccessful attempts. please reset.
8439,the printer for the ups-lapels does not print correctly. the printer is at wckrxovs aunsgzmds place
6344,problems with weekly report and engineering_tool preparation of offers received from: rkyjnbqh.kfshormi@gmail.com Hello everybody please help with weekly report and engineering_tool offer preparation. can be reached by phone today until noon.  many thanks greetings [cid: image001.png@01d1febc.4451e6e0] [cid: image003.jpg@01d1febc.9d05ba00] rkyjnbqh kfshormi b. closely. application engineering i application engineer rkyjnbqh.kfshormi@gmail.com company deutschland gmbh Managing directors: rfwlsoej yvtjzkaw phvkowml azbtkqwx naruedlk mpvhakdq 
