,final_text,Group
0,log issue verified user detail employee manager name checked user name reset password advised user log check caller confirmed able log issue resolved,GRP_0
1,outlook team meeting skype meeting etc appearing outlook calendar somebody advise correct kind,GRP_0
2,cannot log vpn cannot log vpn,GRP_0
3,unable access hr_tool page unable access hr_tool page,GRP_0
4,skype error skype error,GRP_0
5,unable log engineering tool skype unable log engineering tool skype,GRP_0
6,event critical hostname value mount point threshold oracle sid erp data event critical hostname value mount point threshold oracle sid erp data psa perpsr psa,GRP_1
7,ticket employment status new non employee enter user name ticket employment status new non employee enter user name,GRP_0
8,unable disable add outlook unable disable add outlook,GRP_0
9,ticket update inplant ticket update inplant,GRP_0
10,engineering tool say connected unable submit report engineering tool say connected unable submit report,GRP_0
11,hr_tool site loading page correctly hr_tool site loading page correctly,GRP_0
12,unable log hr_tool sgxqsuojr xwbesorf card unable log hr_tool sgxqsuojr xwbesorf card,GRP_0
13,user want reset password user want reset password,GRP_0
14,unable open payslip unable open payslip,GRP_0
15,unable log company vpn xyz unable log company vpn website trying open new session using link able get urgently working home tomorrow due month end closing,GRP_0
16,when undocking screen come back when undocking screen come back,GRP_3
17,erp sid account locked erp sid account locked,GRP_0
18,unable sign vpn unable sign vpn,GRP_0
19,unable check payslip unable check payslip,GRP_0
20,vpn issue helpdesk able connect vpn home office couple hour ago connected working anymore getting message session expired click link nothing happens cid need dynamic crm click chat live agent regarding dynamic crm question click,GRP_0
21,unable connect vpn unable connect vpn,GRP_0
22,user called vendor phone number user called vendor phone number,GRP_0
23,vpn working able connect company network vpn check sir able upload result company network,GRP_0
24,erp sid password reset erp sid password reset,GRP_0
25,unable log hr_tool check payslip unable log hr_tool check payslip,GRP_0
26,account locked account locked,GRP_0
27,unable log hr_tool unable log hr_tool,GRP_0
28,unable log erp sid unable log erp sid,GRP_0
29,password reset collaboration platform password reset collaboration platform,GRP_0
30,reset user reset user password client username xyz,GRP_0
31,duplication network address gentles two device trying share address trying share one printer hostname prtjc new display erp display using dhcp get address assigned printer hard coded guess address get set static address dhcp need corrected display pick another address,GRP_4
32,password reset password reset,GRP_0
33,unable install flash player unable install flash player,GRP_0
34,ticket employment status new non employee ticket employment status new non employee,GRP_0
35,erp sid account unlock password reset erp sid account unlock password reset,GRP_0
36,unable resolve ticket assigned self status button disappear after second,GRP_0
37,installing engineering tool need install engineering tool,GRP_0
38,call call,GRP_0
39,tablet sound working tablet sound working,GRP_0
40,unable log system unable log system,GRP_0
41,reroute job printer printer issue need resolved today printer printer working need part replaced reroute job queue printer printer wihuyjdo qpogfwkb indicated prqos need new part may deliver day warehouse tool need print printer need taken care today since warehouse tool printed picked outside vendor usa daily basis contact anwmfvlgenkataramdntyana question job queue today,GRP_5
42,unable log hr_tool etime unable log hr_tool etime,GRP_0
43,log hr_tool etime single sign portal log hr_tool etime single sign portal,GRP_0
44,password changed password_management_tool update erp account password changed password_management_tool update erp account,GRP_0
45,job job failed job_scheduler monitoring_tool job job failed job_scheduler,GRP_6
46,window password change via password_management_tool window password change via password_management_tool,GRP_0
47,status change telephone software when closing call agent keep acd call status,GRP_7
