,final_text,Group
3217,use outlook group,0
1871,query crm app query crm app,0
2783,usb port issue usb port work time,19
1033,pm_tool_for_sd upload project erp see attached jpg file show message pm_tool_for_sd,25
449,scan work home printer scan work home printer,0
647,hostname fence hostname fence instead,8
146,shipment notification friday october nwfodmhc exurcwkm subject shipment notification update customer shipment notification email address abcdegy,18
3483,scanner working scanner working printer working fine scanner working phone,33
5393,email legitimate email want click without knowing,0
1515,usa dell rack system bfr hardware component warning critical state detected iom sensor chassis internal power supply reporting non critical alert could investigate advise,12
2398,another shipment process commodity detail error sto consignment urgent resolved quickly,18
3708,add new user company nghyuakm add new user company nghyuakm install phone headset well,7
3614,purchase requisition purchasing see attachment purchase requisition purchasing see attachment account requires assignment object select byer,29
2133,printer driver loading properly usa printer say need driver updated continually fails update allow printing,3
1153,skype account log problem name language browser microsoft internet explorer email customer number telephone summary skype account log problem welcome next available agent interaction alerting agent website visitor joined conversation dwfiykeo argtxmvcumar facing problem signing skype account dwfiykeo argtxmvcumar provide password team viewer password dwfiykeo argtxmvcumar working yup,0
1089,halle nesner hrt high invite germany hierf already ersatz installed newer ordered,33
456,printer printing name language browser microsoft internet explorer email customer number telephone summary printer still working after system restart,0
6034,when connecting hr_tool etime window open nothing populates screen empty screen etime access hr_tool portal access single sign working,0
3604,hostname label dat hostname bcd space consumed space available hostname label dat hostname bcd space consumed space available,12
496,chat feature german language working check related change name telephone software queue fdrf germany check attached error chat url english language chat work normally,7
4339,file opened file opened,0
927,uninstall driver update slimware technology external software uninstall driver update slimware technology external software,0
760,error erp sid zsd_mexico_inwarehouse_tool_extract cannot run erp sid zsd_mexico_inwarehouse_tool_extract show error cid cid,2
3550,unable print _ps printer unable print _ps printer,0
3006,unable find pending unable find pending find screen shot upon going thro sid kindly needful,29
2328,printer asking update driver printer asking update driver,0
2255,aidw need format reinstall aidw need format reinstall,19
4295,rebate agreement create partial settlement rebate agreement create partial settlement transaction confirmed agreement specifically sale month august agreement working create credit without fail advise could cause step correct also note process worked generate july document,13
3190,apusm volume label dat hostname space consumed space available apusm volume label dat hostname space consumed space available,12
5064,wifi company guest issue kindly resolve ticket wifi company guest slowly advise solution fix way find attached wifi package apac office domestic mbps international mbps user pax office kindly suggestion need package change check package local internet provider vendor,4
777,collaboration platform issue summary thrown vpn tried several time get back back vpn cannot sign crm,0
4529,engineering tool locked changed password tried log onto engineering tool say many failed attempted see attached screenshot stefyty hunt prototype tech product engineering mailto,0
2492,hostname dev space consumed space available hostname dev space consumed space available,8
4870,unable connect printer also need connect scanner unable connect printer also need scanner tried download driver fujitsu website when tried run need administrator access,3
3207,reset password team kindly assist reset sid password user kassia hydstheud mddwwyleh operation supervisor company distribution service asia pte ltd email mailto,0
3668,set field service collaboration_platform page include collaboration_platform meeting section explained set field service collaboration_platform page include collaboration_platform meeting section explained,16
2291,correct billing error vfx correct attached listed error,10
1708,issue team reason when folder got message belwo cannot open folder appears message appreciate support,0
1504,network outage germany germany site hard since type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power _no company power provider power scheduled maintenance network company maintain provider maintain ticket site backup circuit backup circuit active _no site contact notified phone email remote dial equipment reset _na verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
4344,erp sid sid unlock password reset erp sid sid unlock password reset,0
264,reset sid password user gdthrujt,0
1788,unable schedule skype meeting option longer outlook unable schedule skype meeting option longer outlook,0
1859,power management query power management query,0
109,unable view payslip unable view payslip,0
1463,outlook outlook accountant,31
4391,wifi working stuck yet network shown wont turn ony mobile broadband work name todghtyud usa language browser microsoft internet explorer email customer number telephone summary wifi working stuck yet network shown wont turn ony mobile broadband work,0
4558,unable launch engineering_tool unable launch engineering_tool,3
3636,invalid incomplete error configuration incomplete item invalid item complete error,13
4398,window password reset jog harrhntyl window password reset jog harrhntyl,0
5617,window disk space utilization alert hostname window disk space utilization alert hostname,12
2739,account jncvkrzm thjquiyl blocked registration account jncvkrzm thjquiyl possible error message account addressed currently blocked cannot used logging,0
3643,tnghnha ajuiegrson need access met lab computer able perform job tnghnha ajuiegrson need access met lab computer able perform job,3
2390,atp issue sir schedule agreement request delivery time stock meet agreement created plant took current plant stock confirmed cannot meet customer demand want check current rule confirm date stock meet back order previous order cid sid,6
6436,update contact number update contact number,34
381,phone giga set professional tel longer charging connection defective phone giga set professional tel longer charging connection defective,33
3021,replace monitor cell one tiyhum kuyiomar replace monitor cell one tiyhum kuyiomar,3
4035,babiluntr licence babiluntr expire day update use,0
3801,unable launch skype unable launch skype,0
6486,skype looking pathryu etasthon skype type name search bar picture show robdyhr hhnght name beside nvamcrpq gkrlmxne show robdyhr hhnght longer company perhaps communication intended robdyhr hhnght forwarded pat setting incorrect event someone look correct,0
2980,password locked when trying erp newweaver portal name language browser microsoft internet explorer email customer number telephone summary password locked when trying erp newweaver portal,0
6162,excel continues crash workbook open error message excel cannot complete task available resource choose data close application also excel stopped working beshryued area screen distorted screen refresh excel view pivot table complex macro use excel outlook skype powerpoint open laptop fan run constantly dock excel use,0
6266,abend job job_scheduler sid filesys monitoring_tool abend job job_scheduler sid filesys,8
775,collaboration_platform system working collaboration_platform system working multiple user report getting error trying open website greatly affect discount process cannot access request update approved one error message pop attached affect pozna usa,16
3289,unable install engineering_tools unable install engineering_tools,25
3623,job bkwin_tax_interface_dev_daily failed job_scheduler monitoring_tool session queuing time hour completed disk agent failed disk agent aborted disk agent disk agent total completed medium agent failed medium agent aborted medium agent medium agent total byte total used medium total disk agent error total job bkwin_tax_interface_dev_daily failed job_scheduler,8
2683,dell skype audio working dell skype audio working connected user system using team viewer updated sound driver restarted user able listen audio skype call issue resolved,0
4199,job bk_hana_sid _os_dly_dp failed job_scheduler monitoring_tool job bk_hana_sid _os_dly_dp failed job_scheduler,8
2552,erp letting print order message dvsrepro zrfc message dvsrepro zrfc,0
3245,unable get crm add excel unable get crm add excel,0
